장소명,리뷰,별점
작심스터디카페 분당미금점,시설이 너무 깨끗하고 다양한 차와 커피도 제공해주셔서 좋아요~ 공부하는데 방해되는 요소도 없고 너무 좋습니다!!,5
작심스터디카페 분당미금점,새로 생겨서 깔끔하고 친절해요!,5
작심스터디카페 분당미금점,오픈한지 얼마 안되서 깨끗하고 쾌적합니당!! 자리도 많고 휴게실도 넓고 커피도 마실수 있어요~~,5
작심스터디카페 분당미금점,깔끔하고 친절한 곳이에요,4.5
작심스터디카페 분당미금점,오픈한지 얼마 되지 않아서 다른 스터디카페보다  조용하고 쾌적하네요  오픈이벤트도 진행중이에요 자주 올꺼 같아요,5
작심스터디카페 분당미금점,새로생겨서 의자도 편하고 좌석도 다양하고 좋네용,5
작심스터디카페 분당미금점,사장님 일단 친절하시구요. 시설이 깨끗해요. 진작에 다닐껄 그랬네요.  추천합니다.,5
작심스터디카페 분당미금점,인테리어도 이쁘고 넓고 좋아요!! 책상도 넓고 독서실 책상도 있어서 쓰기 편했던것 같아요. 특히 의자가 많이 편했어여!!,5
작심스터디카페 분당미금점,새로 생겨 깨끗하고 자리가 넓어서 좋았어요.,5
작심스터디카페 분당미금점,쾌적하네요 좋았습니다~,5
작심스터디카페 분당미금점,깔끔하고 특히 자리들이 넓직넓직해서 좋네용특히 안쪽 책상이랑 서랍이 장기간 쓰기에 아주 편해보여서 시험기간에 애용할 거 같아용~,5
작심스터디카페 분당미금점,새로 생긴지 얼마 안돼서 시설 깔끔하고 분위기도 굉장히 좋아요! 공부하기에 딱 좋습니당,5
작심스터디카페 분당미금점,오픈한 지 얼마 안돼서 시설이 쾌적해 정말 좋았습니다. 종종 이용할께요~ ㅎㅎ,5
작심스터디카페 분당미금점,실내 공부공간 개인 자리가 엄청 넓어서 좋았어요! 쉴 때는 휴게실 잘 되어있고 로비가 넓어서 편해요,5
타임유 스터디카페 분당정자점,시설 깔끔하고 쾌적해서 좋습니다!! 근데 중학생? 정도 학생들이 놀러오는 느낌.. 너무 산만하고 시끄러워서 하다가 일찍 나왓어요 ㅠㅠ 공부할 곳이 따로 없어서 계속 가긴 하는데 너무 하다 싶을 때가 좀 있습니다 ㅜ 이거만 빼면 좋아유,3
타임유 스터디카페 분당정자점,"몇군데 다녀봤는데개인적으로는  여기가 제일 시설이 좋아요^^사장님도 친절하시고다양한 스터디 책상과의자가 있어서 선택하기도 좋고, 실내공기도 굿~~!!",4.5
타임유 스터디카페 분당정자점,좋아요,3
타임유 스터디카페 분당정자점,"시설 좋고 조용하고 진짜 다 좋은데 인간적으로 마스크 미착용, 코스크, 턱스크 너무 많음 직원인지사장님인지 열심히 대처하려고 하긴 하는데 그래도 너무 많있음",2
타임유 스터디카페 분당정자점,너무 깔끔한 스타디카페에요 방역수칙도 철저히 하시는거같아서 믿고 편하게 공부 합니다,5
타임유 스터디카페 분당정자점,최근에 오픈해서 깨끗하고 조아요   그리고 그렇게 사람이 아직은 많지ㅡ않아서 좋고요...,5
타임유 스터디카페 분당정자점,깨끗하고 조아유......,5
타임유 스터디카페 분당정자점,깔끔해서 넘 좋아요,5
타임유 스터디카페 분당정자점,예전에 다닌곳보다 훨씬 좋아요 여기로 정착 해야겠어요 ㅎㅎ,5
타임유 스터디카페 분당정자점,쾌적하고 편리하고 좋았습니다음료 기타 간식 무제한이구요오픈이벤트도 하더라구요,5
타임유 스터디카페 분당정자점,공기 청정도 되고 공부에만 집중할수있게 쾌적하고 좋았어요,5
타임유 스터디카페 분당정자점,인테리어 너무 깔끔하고 좋네요,5
타임유 스터디카페 분당정자점,분위기 좋고 인테리어 깔끔하고 좋았어요공부할 분위기 조성되어서 집중 잘되었습니다,5
타임유 스터디카페 분당정자점,"스터디카페 새로 오픈된 것을  우연히 알게되어 가보니 깨끗하고 조용하고너무 마음에 들어요!!. 화장실도 실내에 따로 있어 깨끗하게 사용할 수 있어 너무 좋습니다.저는 100시간 결제했고,2시간이나 4시간 이용도 가능해서시끄러운 스벅 카페보다 조용하게 집중하며 공부할 수 있는 공간으로 완전 추천합니다.",5
타임유 스터디카페 분당정자점,"#정자동 #스터디카페오늘 이용해보고 바로 100시간 등록했어요. 이벤트중이라 100시간에 십만원 저렴하게 등록했습니다. 화장실 안에 있고 깔끔해요. 사물함도 추가 등록했어요 한달에 만원. 얼음, 아이스티, 커피 제공해주시고 오픈 이벤트로 아직 프린트도 무료에요. 공기청정기 24 가동하신다하고. 새 건물 냄새날줄 알았는데 하나도 안났어요. (마스크 착용함) 담요, 지우개, 독서대, 풀 ,등 비치해두셨어요. 의자도 편해요. 오래 앉아있으면 불편함 느끼는 의자도 있는데 폭신하고 좋아요. 사람 많아질거같아요. 코로나 잠잠해지면 엄청 잘될거같아요.  노트북 타자 칠때나 인강들을때는 프리존? 이용하시면 된대요",5
타임유 스터디카페 분당정자점,새로 생겨서 깨끗하고 진짜 좋아요. 아직 사람도 많이 없고!옆쪽에 다른 곳 다니다가 시간제 등 별로 안맞아서 여기 정착하려구요,5
타임유 스터디카페 분당정자점,너무 좋은거 같아요넓고 쾌적하고 예전에 다른곳 다니다가 자리 만석이라 이곳으로 왔는데 앞으로 여기를 더 자주 올것 같아요,5
플랜에이스터디카페 분당정자센터,필요할때마다 자주 이용하고 있는데 매번 만족스러워요!,5
플랜에이스터디카페 분당정자센터,공부하기 너무 쾌적한 환경입니다!!커피도 구비되있고 음료와 독서대도 빵빵!!매일 아침일찍 청소도 잘되어있어다른 24시 독서실보다 청결합니당!!감사합니다~,5
플랜에이스터디카페 분당정자센터,조용히 공부하기에 여기만한 곳이 없는거 같아 계속 재방문합니다 완전 만족스러워요ㅎ,5
플랜에이스터디카페 분당정자센터,오픈때부터 꾸준히 이용중입니다! 조용하고 시설도 너무 깨끗하고 편해요~,5
플랜에이스터디카페 분당정자센터,처음 와보는데 너무 깨끗하고 좋네요 앞으로 저주 올게요◡̈,4.5
플랜에이스터디카페 분당정자센터,세번째 방문인데 여전히 에어컨 효율 좋고 시설도 깔끔합니다. 12시간권 재개되어 이용했습니다.,5
플랜에이스터디카페 분당정자센터,면학 분위기가 좋아서 일일권 결제 했다가 시간권도 추가로 결제하고 갑니다^^ 화이팅!,5
플랜에이스터디카페 분당정자센터,시험공부 하러 왔다가 깔끔하고 조용한 인스타 감성에 놀랐어요 좋네요,5
플랜에이스터디카페 분당정자센터,갔던 스터디카페 중에 제일 좋았습니다. 좌석도 다양화되어있고 물품 구비도 잘 되어있으며 깔끔했습니다.,5
플랜에이스터디카페 분당정자센터,새로생겨서 왔다가 100시간 넘게 결제해서 이용중입니다!! 항상 스터디카페 하루 이틀 이용하고 말았는데 여기는 자리도 다양하고 밝아서 인지 집중이 엄청 잘돼서 계속 이용하고싶어요! 사장님도 완전친절하시고 무인인데도 깨끗해서 좋아요,5
플랜에이스터디카페 분당정자센터,사장님께서 너무 친절하십니다. 관리도 열심히 하시는 것 같아서 학업 분위기도 너무 좋습니다!,5
플랜에이스터디카페 분당정자센터,분위기가 차분해서 공부가 잘되요 강력 추천합니다,5
플랜에이스터디카페 분당정자센터,환경도 깔끔하고 공부에 집중할 수 있는 좋은 환경이라 참 좋습니다!!,5
플랜에이스터디카페 분당정자센터,진짜 깨끗하고 무엇보다 면학분위기가 좋네요  인테리어가 과분할정도로 좋아요  추천합니다,5
플랜에이스터디카페 분당정자센터,항상 청결하게 상태가 유지되어있고 조용한 분위기도 너무 맘에들고 언제든지 맘편히 공부할수있어 좋습니다ㅎㅎ,5
플랜에이스터디카페 분당정자센터,깨끗하고 면학 분위기 정말 좋아요  공부하기 딱입니다  정자동에서 젤 좋은거같아요자주 이용할게요~!,5
플랜에이스터디카페 분당정자센터,일단 시설이 너무 쾌적 깔끔하구오! 백색소음같은 것도 나와서 집중이 너무 잘됩니다! 그 밖에도 커피나 음료도 무료로 제공해줘서 서비스가 너무 좋네요! 근처에서 공부하실거면 여기 너무 추천합니다!!,5
플랜에이스터디카페 분당정자센터,책상도 넓고 조용해서 공부 집중도 잘되요. 소파석 완전 좋아요,5
플랜에이스터디카페 분당정자센터,항상 깨끗하고 24시간 오픈이라 늦게까지 공부할수있어서 좋아요,5
플랜에이스터디카페 분당정자센터,관리잘되고 사장님 친절하세요,5
플랜에이스터디카페 분당정자센터,"공부 분위기 너무 좋고, 사장님이 엄청  관리하세요!추천합니다~~~",5
플랜에이스터디카페 분당정자센터,"정자동에도 드디어 플랜에이 스터디카페가 새롭게 오픈했네요. 일단 화이트톤 인테리어가 너무 화사하고 이쁘구요 노트북을 사용하는 노트북존과 스터디존, 집중존이 각각 별도로 구분되어 있어서 소음에 신경쓰지 않고 공부할 수 있어 좋았습니다. 특히 노트북존은 고급스러운 원목 책상과 의자로 되어있어호텔로비에 앉아서 공부하는것 같네요. 책상도 모두 넓어서 이것저것 올려놓고 공부하기 편하구요 독서실형, 칸막이형, 쇼파형, 오픈형 등 다양해서 그날그날 기분에 따라 앉아서 공부하면 좋을꺼 같습니다. 서비스라운지에는 커피는 물론 차와 음료가 무료로 제공되어 있어 졸릴때는 잠깐  나와서 커피 한잔하면 좋더라구요. 무엇보다 조용하고 열공하는 분위기여서 집중이 잘돼서 앞으로 자주 이용해야겠어요",5
두잇스터디카페 분당미금센터,좋아요,4
두잇스터디카페 분당미금센터,깔끔하고 좋아요,5
두잇스터디카페 분당미금센터,좋아요,5
두잇스터디카페 분당미금센터,좋아요,3
두잇스터디카페 분당미금센터,좋아요,3.5
두잇스터디카페 분당미금센터,좋아요,4
두잇스터디카페 분당미금센터,일단 책상이 넓고 개인공간이 잘 확보되어 있습니다. 그리고 휴게실에 먹거리가 다양하고 내부화장실도있어서 이용이 편리합니다^^ 그리고 사장님께서 관리도 잘해 주세요:),5
두잇스터디카페 분당미금센터,최고예욧!  잘 사용하였습니다.,5
두잇스터디카페 분당미금센터,미금역 인근에서 젤 좋은듯좌석넓고 시설 좋음관리잘됨ㅋㅋ,5
두잇스터디카페 분당미금센터,조용하고 쾌적해서 좋아요! 특히 화장실이 스터디카페용으로 따로있어서 좋은 것 같아요!,5
두잇스터디카페 분당미금센터,"제가 가본 스터디카페 중 좌석이 가장 넓어서 공부하기에 편리했어요~화장실도 실내에 있어 편리하고, 충전기, 음료, 개인사물함, 옷걸이, 가방 바구니 등 이용자 편의시설들이 잘 구비되어 있어 추천합니다^^",5
두잇스터디카페 분당미금센터,시설도 너무 깔끔하고 자리조 넓고 편하네요. 휴게실에 음료나 얼음 관리도 잘되어있어서 계속 이용할 것 같습니다!,5
두잇스터디카페 분당미금센터,자리가 넓고 편해욤 특히 안에 따로 화장실 있어서 좋아요!! 노트북 하는 공간은 따로 없고 키스킨+무선마우스 써야했어요,5
두잇스터디카페 분당미금센터,처음 이용해봤는데 시설도 깔끔하고 조용하고 좋아요 좌석이 다양한 점도 마음에 듭니다,5
두잇스터디카페 분당미금센터,시설도 깨끗하고 쾌적하고 무엇보다도 자리가 넓습니다!! 자주와야겠습니다^^,5
두잇스터디카페 분당미금센터,너무 좋아요!!깔끔하고 화장실도 내부에 있어요! 화장실 내부도 너무 예쁘고 전체적으로 정말 산뜻한 분위기에요!! 코드도 좌석마다 배치되어 있어서 정말 편합니다!,5
두잇스터디카페 분당미금센터,"자리가 엄청 넓어서 노트북,패드 이외에도 좁지않게 놓을수있고 휴게실의 음료원액과 커피기계,얼음 등 정말 부족한것 하나없는 스터디카페입니다! 특히 옷을 걸어둘수있고 화장실이 너무 깨끗한게 좋았어요ㅠㅠ! 평소 스터디카페를 자주 가는데 여기만큼 시설좋고 이용자 생각해주시는곳 처음봤어요:) 번창하시길 바랍니다!",5
두잇스터디카페 분당미금센터,"앞으로 스터디카페 데이트를 할 일이 많은 대학원생 대학생 커플입니다!한곳으로 정착해야겠다고 늘 생각해왔는데, 깔끔한 시설, 우수한 차음 및 방음설비, 사장님의 빠른 실내 온도관련 피드백 등 모자란게 없는 곳입니다!",5
두잇스터디카페 분당미금센터,"일단 들어가자마자 분위기가 너무 좋아서 놀랐어요! 조명이랑 우드계열 책상들이 예쁘게 잘 배치되어 있고 화장실도 카페 내부에 있어서 편하게 이용할 수 있어요 휴게실에는 여러 종류의 음료와 커피, 차, 과자가 다양하게 구비되어 있고 옷을 걸 수 있는 공간도 따로 마련되어 있어서 편했어요 책상, 의자 모두 정말 넓었고 좌석은 오픈되어 있는 공간과 잘 가려진 공간이 다양하게 있어요 또 계속해서 서비스시설들이 늘어가고 있는데 사장님이 조금이라도 더 편하게 이용할 수 있도록 신경써주시는 것 같아서 좋았어요!",5
두잇스터디카페 분당미금센터,할두잇다!!스터디카페는 처음인데 신세계예요*_*최근에 오픈해서 깔끔하고 조용하고 물건도 다 새거라서 집중이 잘되네요화장실도 안에있고 휴게실에 음료도 종류별로 있어서 더 편하고 좋았어요시험 전까지 계속 올게요~,5
두잇스터디카페 분당미금센터,우드톤을 좋아하는데 분위기가 편안하고 좋습니다^^,5
두잇스터디카페 분당미금센터,"전체적으로 쾌적한 게 좋네요. 톤 다운된 우드톤으로 차분한 분위기이고, 1인석,오픈된좌석, 반 오픈된 자석 처럼 다양한 자리가 있는 것도 장점이네요. 사장님께서 주기적인 청소+소독도 하셔서 안심됩니다.",5
두잇스터디카페 분당미금센터,"조용히 공부하고자 방문한 스터디카페입니다. 여러 스터디카페를 다녔지만 뭐랄까.. 이코노미에서 비지니스 클래스에 온 느낌입니다. 우드톤의 좌석도 시각적으로 좋았고 의자도 매우 넓습니다. 편하구요.휴계소에는 향기좋은 냄새와 클래식음악이 들려오고 있으며 각종 과자와 차, 커피가 준비되어 있습니다. 가장 좋은 건 화장실입니다. 보통 카페에 나가서 건물 화장실로 가는데여긴 카페안에 있습니다. 무슨 호텔 화장실인줄 알았다는..ㄷㄷㄷ 사물함도 밖에 있어서 공부에 더 집중할 수 있을것 같네요. 뭔가 복잡하지 않고 깔금한 느낌? 그리고 스터디카페에 프리미움급? 제가 받은 느낌입니다. 강추합니다.",5
두잇스터디카페 분당미금센터,건물 화장실과 별도로 카페 내부에 청결한 화장실이 있고 책상 공간이 쾌적하네요. 4인 룸은 프리젠테이션 등 정보 교류하기에도 좋을 것 같습니다.,5
두잇스터디카페 분당미금센터,"새로 오픈한 곳이라 깨끗하네요.스터디룸이 휴게실과 분리되어 있어 소음도 별로 없어요.휴게실에는 커피, 음료, 비스켓 등 먹거리랑 프린터기도 구비되어 있고, 옷걸이 및 독서대 등도 구비되어 있어서 편해요.다른 카페에 비해 개인 좌석 책상이 훨씬 큰 편이고, 의자도 넓직하게 편하네요.특히, 화장실이 카페 내에 있어서 깨끗하게 이용할 수 있어 좋네요.",5
초심스터디카페 위례점,조용하고 쾌적한 분위기에서 열심히하다 갑니다. 초심만한 곳이 없어서 계속 오게됩니다.,5
초심스터디카페 위례점,재결제 하고 갑니다. 쾌적한 환경이 근처에서 가장 좋은거 같아요!  🥰,5
초심스터디카페 위례점,역시 초심은 깔끔하고 좌석이 넓어요. 확실히 편합니다.그래서 또 왔어요! 관리해주시는 분도 친절하세요!,5
초심스터디카페 위례점,스터디 장소에 산소도 나오고 휴게실에 마실 음료가 많아요ㅎㅎ,4
초심스터디카페 위례점,#위례 #스터디카페 #추천,5
초심스터디카페 위례점,시설 좋아요,5
초심스터디카페 위례점,"친구가 너무 좋다고 강추해서 왔는데 와오!! 강추 할 만 함 공간, 휴게공간, 의자 뭐하나 안좋은게 없네요 앞으로도 잘 관리해주세용",5
초심스터디카페 위례점,어제 첫이용하고 좋아서 구매했는데 할인해서 200시간사용권 싸게 결제했습니다 열심히 해보려구요,5
초심스터디카페 위례점,좋네요..!,5
초심스터디카페 위례점,처음 방문 후에 정기권 끊어보려고 체험 삼아 와봤습니다 좋네요!,5
초심스터디카페 위례점,새로생겨서 모든게 다 깨끗해서 너무나 쾌적하고 좋아여 의자도 진짜 편해요. 오래앉아도 엉덩이 안아파여. 시간권 끊어갑니다,5
초심스터디카페 위례점,장비 렌탈도 많이되고 깨끗해서 간식도 많구.. 간식 많은게 젤 맘에 들었어용..ㅋㅋㅋㅋㅋ 카페존도 집중 넘나잘되요,5
초심스터디카페 위례점,어플이 있어서 그걸로 좌석지정도 가능하고 결제도 가능하더라구요 완죤 스마트 진짜 편하게 이용했어요 굳굳,5
초심스터디카페 위례점,공간 쾌적하고 건물안에 먹을 곳도 많아서 선택했어요~! 공부하다가 산책겸 구경해도 재미질거 같아서 기대되네용 개인석으로 결제했는데 아주 잘한거 같음,5
초심스터디카페 위례점,분위기 너무 좋네요 아직은 사람도 많이 없고 쾌적해요 시험 공부했는데 집중 너무 잘됐어요. 좋은 결과도 있을거 같어요 🙂,5
초심스터디카페 위례점,첫 방문 이용해봤는데 깔끔 하고 좋아서 200시간 끊고 왔어요. 할인해서 진짜 착한가격에 했네요!! 친구한테도 소개해줘서 친구도 같이 결제 크크크 열공할게여❤️,5
초심스터디카페 위례점,오픈이벤트로 50프로 해서 200시간 결제 :) 카페존 넘나 맘에 들어요~~!  그리고 후레쉬존에 먹을거리도 대박....! 간식거리도 많고 좋아요,5
초심스터디카페 위례점,생긴지 얼마 안된 곳이라 방문했는데 너무 깔끔하고 고급지네요~! 스터디존에서 했는데 공부할 맛 납니다 ! :),5
초심스터디카페 위례점,100시간 끊었습니다 ! 집중 잘될거 같아서 열심히 해보려구요,5
초심스터디카페 위례점,스터디룸 이용했어요 매달 2회씩 하는거라 자주 하는 편인데 초심은 첨이네여 스터디원들도 만족하며 다음에도 여기서 하기로 했어요,5
르하임스터디카페 분당수내점,다른곳보다 쾌적하고 분위기가 더 조용한거같습니다 사장님이 너무너무 친절하십니다 감사합니다,5
르하임스터디카페 분당수내점,공부하기에 좋아요다만 서로서로가 더 배려하는 스카였으면 ㅠㅠㅠ타이핑은 조심조심히❣ 마우스는 무소음🤣,4
르하임스터디카페 분당수내점,너무 쾌적하구 공부 잘되는 분위기 집중이 잘되네요. 감사합니다.,5
르하임스터디카페 분당수내점,공부하기 정말 좋은 곳,5
르하임스터디카페 분당수내점,굳,3.5
르하임스터디카페 분당수내점,깰끔 그자체입니다 청소 실시간으로 해주셔요,5
르하임스터디카페 분당수내점,깔끔하고 좋음,4.5
르하임스터디카페 분당수내점,수내 스터디카페 중 제일 깔끔한 것 같아요. 정신사납지 않아서 좋아요.,5
스터디카페 두드림,무인 운영 카페라서 24시간 이용할 수 있어 너무 좋아요~,5
스터디카페 두드림,좋아요,3.5
스터디카페 두드림,ㄱㅊ,4
스터디카페 두드림,너무 독서실 같지 않고 아기자기해서 좋아요ㅎ,5
스터디카페 두드림,공부하기 좋아요 좌석도 넓고 쾌적하고 환기때문에 창문열면 도로변이라 조금 시끄러울때있지만 괜찮습니다,4.5
스터디카페 두드림,좋아요,5
스터디카페 두드림,좋아요! 조용해요,5
디플레이스 스터디카페 분당정자점,빌런 퇴치 제발요ㅠㅠㅠ직원이 오전에 사람 없을 때 청소하시나봐요.무인의 단점이 고스란히 드러나요ㅠ,2.5
디플레이스 스터디카페 분당정자점,무인이라 그런지 코골고 자거나 뿌시럭대면서 젤리 먹는 빌런들을 잘 못 잡아내요스터디룸 가격도 너무 비싸고요. 거리두기도 제대로 시행되지 않아 아쉬워요.,2.5
디플레이스 스터디카페 분당정자점,ㅎ,5
르하임스터디카페 분당미금점,좋아요,3
르하임스터디카페 분당미금점,조용해서 자주가요,4.5
르하임스터디카페 분당미금점,조용하고 좋은대 밑에 노래방에서 소음이 들려요 (울림 ㅠㅠ),4
르하임스터디카페 분당미금점,조용해서 좋은데 좀 더워요.,4
르하임스터디카페 분당미금점,사람 많고 더워요... 쾌적하지않아요가격은 미금역 다른스터디 카페보다 저렴하네요,3
르하임스터디카페 분당미금점,싸고조용하고좋아요특히공기청정기가잇어서굿,5
화이트펜슬 스터디카페 분당수내점,시설 좋고 깨끗하고 좋아요. 공부하기 너무 좋은 곳입니다.!,5
화이트펜슬 스터디카페 분당수내점,집 주변에 스터디까페있어도 여기까지 오ㅏ요!답답한 시설은 계속있으면 집중력도 떨어지고 힘들어지는데 수내화이트펜슬은 통유리라 탁 트여있어서 진짜 강추! 주차하기도 편하고 시설도 깔끔하고 너무 좋습니다 무엇보다 사장님이 너무 친절하셔용~,5
화이트펜슬 스터디카페 분당수내점,완전 좋아요 아이스티도 맛있어요 ㅎ ㅎ,5
화이트펜슬 스터디카페 분당수내점,스터디 카페 자체가 밝은 느낌이에요. 어두운 분위기에서 공부하는게 아니라 카페에서 공부하는 느낌. 커피도 맛있고 특히 휴게실이 마음에 듦.,5
화이트펜슬 스터디카페 분당수내점,좋아요,4
화이트펜슬 스터디카페 분당수내점,요 근방 스터디카페중에 가장 쾌적하고 좋은것같아요 건물의 노후정도에 비해 시설이 깔끔하고 스터디카페 내부 환기시설이 잘 설계되어있어서 끕꿉한냄새도 나지 않아요 공부에 필요한 물품도 잘 구비되어 있어서 다니기 편하고 좋아요!,5
화이트펜슬 스터디카페 분당수내점,공간 여유롭고 늘 깨끗하게 관리 잘 되어 있어요 그리고 에블바디 열공해 자극 받습니다 ㅎㅎ,5
화이트펜슬 스터디카페 분당수내점,가본 스터디카페 중 최고 깔끔하고 시설도 좋아요!! 커피도 맛나요.. 창밖에 푸른 나무가 보여서 힐링됩니당 ㅎㅎ ( 화장실은 건물 화장실 밖에 없는 듯 한데 좀 오래되긴 했어요.),5
화이트펜슬 스터디카페 분당수내점,좋아요,3.5
화이트펜슬 스터디카페 분당수내점,2번째 방문인데 여전히 깨끗하고무료스벅커피에 아이스티 넘 좋아요.휴식공간도 넓구요. 좌석도 다양해 옮겨서 분위기전환도 좋네요~~~,5
화이트펜슬 스터디카페 분당수내점,좋아요,4
화이트펜슬 스터디카페 분당수내점,분당수내점엔 맘씨 좋아보이는 사장님이 계세요.주인이 직접관리해서인지 늘 실내도 깔끔하고 비품도 넉넉히 채워져 있어요.,5
화이트펜슬 스터디카페 분당수내점,"한번 이용해보고 맘에 들어해서 이번에 아예 15일권을 끊어줬어요. 부모입장에서 코로나도 그렇고 방역이나 옆자리와의 거리두기, 차단같은 것이 걱정됐었는데 너무 막아서 답답하지 않으면서 옆자리와 차단막을 다양한 형태로 만들어놔서 취향에 맞게 자리선택 가능해서 좋다고 하네요 학원일정때문에 길게 끊지 못하는 상황이었는데 기간도 다양하게 선택할 수 있어서 좋았네요 방학때 길게 끊어서 집중적으로 해볼 생각입니다.",5
화이트펜슬 스터디카페 분당수내점,회의실 예약해서 팀회의 진행 했습니다.코로나로 본사 출입이 힘든시기 우리같은외부에서 주활동 중인 영업팀에겐 너무 좋군요.^^. 역도 가깝고 특히 생긴 지 얼마 안되서 깨끗하고 쾌적성이 좋습니다. 다음 회의도 여기로 찜합니다.,5
화이트펜슬 스터디카페 분당수내점,너무 깔끔해요^^조용해서 편하게 스터디하고 왔습니다.다음에 수내 갈일 있으면 여기로 예약할게요^^,5
화이트펜슬 스터디카페 분당수내점,이글을 보고 있다면 공부하겠다는 의지가 있는 거니 일단 일일권 끊고 하루 해보고 장기 등록하자 스벅 원두라서 스벅가서 아메리카노 마시는 기분임스벅하루에 한번씩 갔는 데 저번에 가고 후회함 그냥스터디카페 꺼 마실껄하고 와이파이 빠방하고 밖이 보여서 답답하지 않아서 좋음,5
화이트펜슬 스터디카페 분당수내점,"왜 때문에 사람이 계속 늘고있을까요?! 저만 알고싶은데!!!ㅠㅠㅠㅠ 전 적당한 소음이 좋아서 HB를 주로 사용하는데, 넘 좋습니다. 깔끔하고 쾌적하고 커피도 좋고! 문의사항에 사장님께서 피드백도 바로바로 주십니다👍 앞으로도 잘 부탁드립니다!!",5
화이트펜슬 스터디카페 분당수내점,지난번에 공부 잘되서 오늘 또 다녀왔어요! 오늘도 분위기좋아서 집중해서 잘 하고 왔습니다 ^^(이 가격에 커피 두잔마셔서 죄송합니다ㅠㅠ;),5
화이트펜슬 스터디카페 분당수내점,조용하고 쾌적해서 좋아요,5
화이트펜슬 스터디카페 분당수내점,깔끔해서 좋아요,5
화이트펜슬 스터디카페 분당수내점,깨끗하고 시설좋아요!!,5
화이트펜슬 스터디카페 분당수내점,2시간씩 하다가 너무좋아서 50시간 확 끊었습니다!,5
화이트펜슬 스터디카페 분당수내점,시설 좋고 깨끗하고 커피가 맛있어서 좋아요. 하루권 끊고 좋아서 8주 등록 했어요 :) 사장님께서 문의사항 답변도 빠르게 잘해주십니다.,5
화이트펜슬 스터디카페 분당수내점,책상이 다양해서 자기한테 맞는 책상에서 하면되요. 자리가 편해서 오래 있어도 안불편해요,5
화이트펜슬 스터디카페 분당수내점,깔끔하고 좋습니다.,5
화이트펜슬 스터디카페 분당수내점,조용하고 깨끗합니다,5
화이트펜슬 스터디카페 분당수내점,"청결하고, 청소관리를 잘해주셔서 항상 깔끔하고 쾌적해요. 좋습니다~",5
화이트펜슬 스터디카페 분당수내점,자격증 시험준비하느라 조용히 공부할 곳을 찾았는데 그게 바로 요기네요! 처음 와봤는데 너무 좋아요.,5
화이트펜슬 스터디카페 분당수내점,#스터디카페 #공부잘되는곳 #화이트펜슬 분당수내점,5
화이트펜슬 스터디카페 분당수내점,분위기가 다들 열심히 하다보니 저도 덩달아서 열심히 하게 되는거 같습니다. 모두 좋은결과가 있었으면 좋겠습니다~!,5
화이트펜슬 스터디카페 분당수내점,좋아요,5
화이트펜슬 스터디카페 분당수내점,자격증공부중이라 방문을 했는데 공간이 넓고 마실수있는 음료공간도 마련돼있어 만족했습니다^^,5
화이트펜슬 스터디카페 분당수내점,여러곳을 다녀보았는데 이곳이 최고네요!!넓고 깨끗해요!!!,5
화이트펜슬 스터디카페 분당수내점,가장 쾌적하고 시설 좋고  집중이 잘돼네요,5
화이트펜슬 스터디카페 분당수내점,책상이 넓어요얼음과 커피 무한제공쾌적하고 너무 좋아요당일 무료권 사용해보고 추가로 결제했어요다만 시간권을 끊고 싶었는데 당일 10시간 만원인데 50시간권은 5만원이 아니라 7만원 이어서 부담스럽기도 하고매일은 못오고 한번씩 긴시간 이용할것 같은데 적절한 금액권이 당일권뿐이라 시간권이나 기간권으로는 결제하지 못했어요ㅠㅠ,4.5
화이트펜슬 스터디카페 분당수내점,오늘 처음 이용해봤는데 시설도 좋고 깨끗했어요 분위기도 좋아서 집중해서 공부 잘 하고 왔습니다^^,5
화이트펜슬 스터디카페 분당수내점,분위기 환하고 깔끔해서 공부가 잘 되네요. 회의실도 8인실이라 넓고 방음도 잘되서 좋았습니다.,5
화이트펜슬 스터디카페 분당수내점,"수내역에서 미팅이 있어 8인실 회의실과 내부에 있는 카페를 이용했는데, 편의시설이 다양하고 깨끗하고 고급져서 만족스러웠어요. 무한제공되는 아아 커피가 시원하게 맛있었고,  간단한 다과가 무상으로 있어서 오랜시간 머물러도 불편함이 없었습니다.",5
화이트펜슬 스터디카페 분당수내점,스터디룸 예약하고 사용했는데 방음도 잘되고 깨끗하고 너무 만족하고갑니다  다음스터디때도 여기 예약하려구요,5
화이트펜슬 스터디카페 분당수내점,오늘 처음 이용해봤는데 역에서도 가깝고 시설좋고 조용해요 앞으로 자주 이용할거 같네요,5
화이트펜슬 스터디카페 분당수내점,진짜 좋아요. 얼음에 아아값으로만 생각해도 개이득....이제 카페 안가요 ㅋㅋㅋ,5
화이트펜슬 스터디카페 분당수내점,집근처에 있어서 한번가봐야지 했는데시설이 너무 좋아서매번 카페대신 가고있어요작업하거나 독사하기 너무 편하고 조용하거가격도 괜찮은것 같아 계속 방문할예정입니다,5
